,name,github_id,category,homepage,pypi_id,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,description,projectrank,show,projectrank_placing,license,star_count,docs_url,release_count,latest_stable_release_number,latest_stable_release_published_at,update_at,last_commit_pushed_at,created_at,fork_count,commit_count,open_issue_count,closed_issue_count,updated_at,trending,gitlab_id,labels,gitlab_url,doc_url,conda_id,conda_url,conda_latest_release_published_at,conda_total_downloads,home_page
0,Gymnasium,Farama-Foundation/Gymnasium,ml,https://gymnasium.farama.org/,gymnasium,23407.0,23407.0,606.0,https://pypi.org/project/gymnasium,5253728.0,5253728.0,,16,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,
1,HoloOcean,byu-holoocean/HoloOcean,maritime,https://byu-holoocean.github.io/holoocean-docs/,,,,11.0,,,,"A UE5 based simulator for marine perception and autonomy, with multi-agent communications and many common underwater..",12,True,1.0,MIT and Unreal Engine EULA,98.0,https://byu-holoocean.github.io/holoocean-docs/,8.0,2.3.0,2026-02-05,2026-02-05,2026-02-05,2020-10-04,47.0,200.0,20.0,163.0,2020-10-04,,,,,,,,,,
2,PyRender,mmatl/pyrender,render,http://pyrender.readthedocs.io/,pyrender,3237.0,3237.0,23.0,https://pypi.org/project/pyrender,797294.0,797294.0,,12,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,
3,Bevy,bevyengine/bevy,game,https://bevy.org/,,26214.0,26214.0,1654.0,,,,,10,True,1.0,,,,,,,,,,,,,,,-29.0,,,,,,,,,
4,Gymnasium Robotics,Farama-Foundation/Gymnasium-Robotics,ml,https://robotics.farama.org/,gymnasium-robotics,350.0,350.0,41.0,https://pypi.org/project/gymnasium-robotics,30296.0,30296.0,,9,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,
5,Flightgear,,aerial,https://www.flightgear.org/,,,,,,,,FlightGear open-source flight simulator [flightgear.org](https://www.flightgear.org).,8,True,1.0,gnu-gpl2,78.0,,0.0,,,,,2015-03-04 07:33:36,80.0,,232.0,388.0,2015-03-04 07:33:36,,flightgear/flightgear,[],https://gitlab.com/flightgear/flightgear,,,,,,
6,Robwork,,robotics,http://robwork.dk/,,,,,,,,"RobWork is a collection of C++ libraries for simulation and control of robot systems, see http://robwork.dk To get..",8,True,1.0,apache-2,33.0,,0.0,,,,,2016-04-07 10:41:55,60.0,,17.0,94.0,2016-04-07 10:41:55,,sdurobotics/RobWork,,https://gitlab.com/sdurobotics/RobWork,,,,,,
7,mjlab,mujocolab/mjlab,ml,https://github.com/mujocolab/mjlab,mjlab,,,57.0,https://pypi.org/project/mjlab,108351.0,108351.0,,8,True,1.0,Apache-2,,,,,,,,,,,,,,,,,,https://github.com/mujocolab/mjlab/blob/main/README.md,,,,,
8,airsim,microsoft/AirSim,aerial,{},,451.0,451.0,247.0,,,,,8,False,1.0,mit,,,,,,,,,,,,,,,,,,https://microsoft.github.io/AirSim/,,,,,
9,Metaworld,Farama-Foundation/Metaworld,ml,https://metaworld.farama.org/,metaworld,114.0,114.0,47.0,https://pypi.org/project/metaworld,27492.0,27492.0,,8,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,
10,SimSpark,,robotics,https://gitlab.com/robocup-sim/SimSpark,,,,,,,,A generic physical simulator.,7,True,1.0,Missing,22.0,,38.0,,,,2025-01-21,2017-10-13 09:44:12,8.0,,28.0,29.0,2017-10-13 09:44:12,,robocup-sim/SimSpark,,https://gitlab.com/robocup-sim/SimSpark,,,,,,
