,name,github_id,labels,category,license,homepage,show,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,projectrank_placing,github_release_downloads,monthly_downloads,pypi_id,pypi_url,pypi_monthly_downloads,docs_url,update_at,trending,gitlab_id,gitlab_url,doc_url,conda_id,conda_url,conda_latest_release_published_at,conda_total_downloads,home_page
0,Gym,openai/gym,[],ml,MIT,https://www.gymlibrary.dev/,False,https://github.com/openai/gym,2016-04-27 14:59:16,2026-03-26 23:13:27,2026-03-26 23:13:24,1758.0,8185.0,1038.0,1468.0,113.0,1726.0,37236.0,2022-10-04 16:39:12,0.26.2,19.0,A toolkit for developing and comparing reinforcement learning algorithms.,24.0,24.0,385.0,28,1.0,,,,,,,,,,,,,,,,
1,Colosseum,CodexLabsLLC/Colosseum,,aerial,MIT,https://codexlabsllc.github.io/Colosseum/,True,https://github.com/CodexLabsLLC/Colosseum,2022-07-23 10:32:41,2026-07-08 00:44:55,2025-12-08 14:09:27,3717.0,188.0,25.0,48.0,62.0,26.0,670.0,2025-08-08 18:22:02,2.3.0,6.0,Open source simulator for autonomous robotics built on Unreal Engine with support for Unity.,,,259.0,22,1.0,20029.0,435.0,,,,,,,,,,,,,,
2,Gazebo Classic,gazebosim/gazebo-classic,,robotics,Apache-2,https://classic.gazebosim.org/,False,https://github.com/gazebosim/gazebo-classic,2020-04-19 04:26:21,2024-12-03 13:17:30,2024-12-03 13:13:52,32589.0,506.0,8.0,337.0,1466.0,1588.0,1350.0,,,,"Gazebo classic. For the latest version, see https://github.com/gazebosim/gz-sim.",,,202.0,20,1.0,,,,,,,,,,,,,,,,
3,Self Driving Car,udacity/self-driving-car-sim,,auto,mit,https://github.com/udacity/self-driving-car-sim,False,https://github.com/udacity/self-driving-car-sim,2017-02-08 03:31:26,2022-02-24 12:49:52,2022-02-24 12:49:52,26.0,1462.0,2.0,16.0,53.0,70.0,3982.0,2017-07-11 20:07:27,T3_v1.2,11.0,A self-driving car simulator built with Unity.,,,8.0,16,1.0,73011.0,651.0,,,,,,,,,,,,,,
4,Gymnasium,Farama-Foundation/Gymnasium,,ml,,https://gymnasium.farama.org/,True,,,,,,,,,,,,,,,,23480.0,23480.0,609.0,16,1.0,,4856576.0,gymnasium,https://pypi.org/project/gymnasium,4856576.0,,,,,,,,,,,
5,UUV Simulator,uuvsimulator/uuv_simulator,,maritime,apache-2,https://uuvsimulator.github.io/,False,https://github.com/uuvsimulator/uuv_simulator,2016-07-13 11:21:05,2023-08-08 15:18:36,2020-06-15 14:57:59,1275.0,320.0,4.0,285.0,106.0,75.0,888.0,,,,Gazebo/ROS packages for underwater robotics simulation.,,,21.0,15,1.0,,,,,,,,,,,,,,,,
6,HoloOcean,byu-holoocean/HoloOcean,,maritime,MIT and Unreal Engine EULA,https://byu-holoocean.github.io/holoocean-docs/,True,,2020-10-04,2020-10-04,2026-02-05,200.0,47.0,,,20.0,163.0,98.0,2026-02-05,2.3.0,8.0,"A UE5 based simulator for marine perception and autonomy, with multi-agent communications and many common underwater..",,,11.0,12,1.0,,,,,,https://byu-holoocean.github.io/holoocean-docs/,2026-02-05,,,,,,,,,
7,PyRender,mmatl/pyrender,,render,,http://pyrender.readthedocs.io/,True,,,,,,,,,,,,,,,,3239.0,3239.0,23.0,12,1.0,,881919.0,pyrender,https://pypi.org/project/pyrender,881919.0,,,,,,,,,,,
8,LRAUV,osrf/lrauv,,maritime,Apache-2.0,https://github.com/osrf/lrauv,False,https://github.com/osrf/lrauv,2021-11-02 07:33:35,2025-03-18 04:22:21,2025-03-18 04:22:08,357.0,18.0,4.0,176.0,16.0,94.0,79.0,,,,Packages for simulating the Tethys-class Long-Range AUV (LRAUV) from the Monterey Bay Aquarium Research Institute..,,,11.0,10,2.0,,,,,,,,,,,,,,,,
9,Bevy,bevyengine/bevy,,game,,https://bevy.org/,True,,,,,,,,,,,,,,,,26242.0,26242.0,1661.0,10,1.0,,,,,,,,-29.0,,,,,,,,
