,name,github_id,homepage,category,license,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,pypi_id,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,docs_url,update_at,trending,gitlab_id,labels,gitlab_url,doc_url,conda_id,conda_url,conda_latest_release_published_at,conda_total_downloads,home_page
0,Colosseum,CodexLabsLLC/Colosseum,https://codexlabsllc.github.io/Colosseum/,aerial,MIT,https://github.com/CodexLabsLLC/Colosseum,2022-07-23 10:32:41,2026-07-08 00:44:55,2025-12-08 14:09:27,3717.0,189.0,25.0,48.0,62.0,26.0,670.0,2025-08-08 18:22:02,2.3.0,20039.0,435.0,6.0,Open source simulator for autonomous robotics built on Unreal Engine with support for Unity.,259.0,22,True,1.0,,,,,,,,,,,,,,,,,
1,Gazebo Classic,gazebosim/gazebo-classic,https://classic.gazebosim.org/,robotics,Apache-2,https://github.com/gazebosim/gazebo-classic,2020-04-19 04:26:21,2024-12-03 13:17:30,2024-12-03 13:13:52,32589.0,505.0,8.0,337.0,1466.0,1588.0,1350.0,,,,,,"Gazebo classic. For the latest version, see https://github.com/gazebosim/gz-sim.",202.0,20,False,1.0,,,,,,,,,,,,,,,,,
2,Self Driving Car,udacity/self-driving-car-sim,https://github.com/udacity/self-driving-car-sim,auto,mit,https://github.com/udacity/self-driving-car-sim,2017-02-08 03:31:26,2022-02-24 12:49:52,2022-02-24 12:49:52,26.0,1464.0,2.0,16.0,53.0,70.0,3982.0,2017-07-11 20:07:27,T3_v1.2,73016.0,651.0,11.0,A self-driving car simulator built with Unity.,8.0,16,False,1.0,,,,,,,,,,,,,,,,,
3,Gymnasium,Farama-Foundation/Gymnasium,https://gymnasium.farama.org/,ml,,,,,,,,,,,,,,,,4339531.0,,,612.0,16,True,1.0,gymnasium,23536.0,23536.0,https://pypi.org/project/gymnasium,4339531.0,,,,,,,,,,,,
4,UUV Simulator,uuvsimulator/uuv_simulator,https://uuvsimulator.github.io/,maritime,apache-2,https://github.com/uuvsimulator/uuv_simulator,2016-07-13 11:21:05,2023-08-08 15:18:36,2020-06-15 14:57:59,1275.0,320.0,4.0,285.0,106.0,75.0,888.0,,,,,,Gazebo/ROS packages for underwater robotics simulation.,21.0,15,False,1.0,,,,,,,,,,,,,,,,,
5,HoloOcean,byu-holoocean/HoloOcean,https://byu-holoocean.github.io/holoocean-docs/,maritime,MIT and Unreal Engine EULA,,2020-10-04,2020-10-04,2026-02-05,200.0,47.0,,,20.0,163.0,98.0,2026-02-05,2.3.0,,,8.0,"A UE5 based simulator for marine perception and autonomy, with multi-agent communications and many common underwater..",11.0,12,True,1.0,,,,,,https://byu-holoocean.github.io/holoocean-docs/,2026-02-05,,,,,,,,,,
6,PyRender,mmatl/pyrender,http://pyrender.readthedocs.io/,render,,,,,,,,,,,,,,,,1105397.0,,,23.0,12,True,1.0,pyrender,3245.0,3245.0,https://pypi.org/project/pyrender,1105397.0,,,,,,,,,,,,
7,LRAUV,osrf/lrauv,https://github.com/osrf/lrauv,maritime,Apache-2.0,https://github.com/osrf/lrauv,2021-11-02 07:33:35,2025-03-18 04:22:21,2025-03-18 04:22:08,357.0,18.0,4.0,176.0,16.0,94.0,79.0,,,,,,Packages for simulating the Tethys-class Long-Range AUV (LRAUV) from the Monterey Bay Aquarium Research Institute..,11.0,10,False,2.0,,,,,,,,,,,,,,,,,
8,Bevy,bevyengine/bevy,https://bevy.org/,game,,,,,,,,,,,,,,,,,,,1666.0,10,True,1.0,,26270.0,26270.0,,,,,-29.0,,,,,,,,,
9,Gymnasium Robotics,Farama-Foundation/Gymnasium-Robotics,https://robotics.farama.org/,ml,,,,,,,,,,,,,,,,26340.0,,,44.0,9,True,1.0,gymnasium-robotics,352.0,352.0,https://pypi.org/project/gymnasium-robotics,26340.0,,,,,,,,,,,,
